#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T22:03+0000 #
#####################################################################
#
# seed = 14.0, spacing = 0.5, error = 0.1, mode = reactive, delay = 10, throttle = 5
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 2750.0 400.0 400.0 400.0
1.0 0.0 4876.0 33825.0 4230.0 3845.0 5064.0
2.0 1.7999999999999934 9694.0 68321.0 7595.0 5767.0 10102.0
3.0 7.775 14956.0 105392.0 11457.0 7987.0 15600.0
4.0 7.799999999999997 21098.0 148012.0 14082.0 11725.0 22023.0
5.0 6.924999999999995 24591.0 172255.0 14784.0 13897.0 25659.0
6.0 5.175000000000005 26710.0 187009.0 14972.0 14692.0 27864.0
7.0 3.9749999999999885 28393.0 198841.0 14977.0 14792.0 29632.0
8.0 2.849999999999991 30023.0 210372.0 14977.0 14807.0 31352.0
9.0 2.0999999999999956 31364.0 219848.0 14977.0 14807.0 32757.0
10.0 1.4500000000000033 32203.0 225459.0 14977.0 14807.0 33646.0
11.0 1.3500000000000028 32326.0 226213.0 14977.0 14807.0 33777.0
12.0 1.3500000000000028 32370.0 226474.0 14977.0 14807.0 33822.0
13.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
14.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
15.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
16.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
17.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
18.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
19.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
20.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
21.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
22.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
23.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
24.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
25.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
26.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
27.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
28.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
29.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
30.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
31.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
32.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
33.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
34.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
35.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
36.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
37.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
38.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
39.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
40.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
41.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
42.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
43.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
44.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
45.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
46.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
47.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
48.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
49.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
50.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
51.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
52.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
53.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
54.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
55.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
56.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
57.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
58.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
59.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
60.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
61.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
62.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
63.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
64.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
65.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
66.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
67.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
68.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
69.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
70.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
71.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
72.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
73.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
74.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
75.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
76.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
77.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
78.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
79.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
80.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
81.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
82.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
83.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
84.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
85.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
86.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
87.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
88.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
89.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
90.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
91.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
92.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
93.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
94.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
95.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
96.0 1.3500000000000028 32375.0 226503.0 14977.0 14807.0 33827.0
