#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T03:28+0000 #
#####################################################################
#
# seed = 5.0, spacing = 0.5, error = 0.1, mode = proactive, delay = 10, throttle = 5
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
6.273073581679167E-4 0.0 1.0 1.0 0.0 0.0 0.0
1.0006028426614486 0.0 2000.0 12863.0 0.0 0.0 0.0
2.000627307358168 0.0 4001.0 28481.0 0.0 0.0 0.0
3.000627307358169 0.0 6001.0 44091.0 0.0 0.0 0.0
4.000029290852159 0.0 8000.0 59693.0 0.0 0.0 0.0
5.000483460766789 1.4250000000000014 10000.0 75303.0 0.0 0.0 0.0
6.000512985202403 4.149999999999999 12000.0 90913.0 0.0 0.0 0.0
7.000627307358172 6.100000000000001 14001.0 106531.0 0.0 0.0 0.0
8.000627307358172 7.8999999999999995 16001.0 122141.0 0.0 0.0 0.0
9.000009933275898 8.399999999999997 18000.0 137743.0 0.0 0.0 0.0
10.000046300185133 8.225000000000003 20000.0 153353.0 0.0 0.0 0.0
11.00024006076812 7.7250000000000005 22000.0 168963.0 0.0 0.0 0.0
12.000036380251135 7.25 24000.0 184573.0 0.0 0.0 0.0
13.000144522603081 6.625 26000.0 200183.0 0.0 0.0 0.0
14.000328440442194 5.799999999999995 28000.0 215793.0 0.0 0.0 0.0
15.000627307358148 4.724999999999994 30001.0 231411.0 0.0 0.0 0.0
16.00016818568125 3.875 32000.0 247013.0 0.0 0.0 0.0
17.00015102050293 3.350000000000003 34000.0 262623.0 0.0 0.0 0.0
18.000627307358137 2.825000000000003 36001.0 278241.0 0.0 0.0 0.0
19.000456855173248 2.25 38000.0 293843.0 0.0 0.0 0.0
20.00062730735813 2.0 40001.0 309461.0 0.0 0.0 0.0
21.000123201273784 1.9749999999999943 42000.0 325063.0 0.0 0.0 0.0
22.000599012309852 1.9749999999999943 44000.0 340673.0 0.0 0.0 0.0
23.00004751750602 1.9749999999999943 46000.0 356283.0 0.0 0.0 0.0
24.000627307358116 1.9749999999999943 48001.0 371901.0 0.0 0.0 0.0
25.000145131356085 1.9749999999999943 50000.0 387503.0 0.0 0.0 0.0
