#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T01:22+0000 #
#####################################################################
#
# seed = 50.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 739.0 5021.0 782.0 782.0 782.0
2.0 0.0 808.0 5493.0 805.0 828.0 851.0
3.0 0.0 910.0 6183.0 842.0 893.0 953.0
4.0 0.0 1038.0 7070.0 895.0 968.0 1081.0
5.0 0.0 1189.0 8139.0 961.0 1060.0 1239.0
6.0 0.0 1358.0 9341.0 1054.0 1149.0 1421.0
7.0 0.0 1537.0 10624.0 1161.0 1238.0 1617.0
8.0 0.0 1710.0 11853.0 1269.0 1330.0 1817.0
9.0 0.0 1882.0 13063.0 1365.0 1426.0 2009.0
10.0 0.0 2071.0 14366.0 1465.0 1533.0 2216.0
11.0 0.22499999999999967 2276.0 15778.0 1585.0 1652.0 2442.0
12.0 0.8499999999999991 2478.0 17163.0 1724.0 1804.0 2667.0
13.0 1.9250000000000018 2677.0 18512.0 1867.0 1995.0 2884.0
14.0 3.2000000000000006 2931.0 20241.0 2030.0 2214.0 3161.0
15.0 4.274999999999999 3237.0 22339.0 2210.0 2445.0 3501.0
16.0 4.950000000000002 3563.0 24498.0 2386.0 2656.0 3849.0
17.0 5.700000000000002 3885.0 26639.0 2542.0 2864.0 4199.0
18.0 6.400000000000003 4166.0 28582.0 2668.0 3043.0 4504.0
19.0 7.099999999999997 4413.0 30297.0 2780.0 3200.0 4773.0
20.0 7.650000000000002 4654.0 31990.0 2897.0 3348.0 5038.0
21.0 8.1 4890.0 33634.0 3012.0 3489.0 5294.0
22.0 8.350000000000001 5101.0 35086.0 3125.0 3602.0 5520.0
23.0 8.450000000000003 5278.0 36279.0 3231.0 3674.0 5703.0
24.0 8.399999999999997 5445.0 37407.0 3314.0 3721.0 5875.0
25.0 8.25 5619.0 38575.0 3366.0 3746.0 6049.0
26.0 7.924999999999997 5799.0 39806.0 3399.0 3759.0 6233.0
27.0 7.674999999999997 5977.0 41032.0 3413.0 3763.0 6424.0
28.0 7.5 6150.0 42230.0 3416.0 3763.0 6611.0
29.0 7.375 6321.0 43443.0 3419.0 3763.0 6800.0
30.0 7.150000000000005 6485.0 44579.0 3419.0 3763.0 6981.0
31.0 6.900000000000006 6641.0 45655.0 3419.0 3763.0 7161.0
32.0 6.7000000000000055 6791.0 46729.0 3419.0 3763.0 7332.0
33.0 6.400000000000006 6948.0 47820.0 3419.0 3763.0 7507.0
34.0 6.025000000000005 7116.0 49000.0 3419.0 3763.0 7693.0
35.0 5.625 7296.0 50265.0 3419.0 3763.0 7881.0
36.0 5.049999999999995 7503.0 51695.0 3419.0 3763.0 8106.0
37.0 4.775000000000003 7713.0 53122.0 3419.0 3763.0 8327.0
38.0 4.599999999999998 7923.0 54513.0 3419.0 3763.0 8546.0
39.0 4.5 8124.0 55861.0 3419.0 3763.0 8760.0
40.0 4.4 8311.0 57095.0 3419.0 3763.0 8956.0
41.0 4.325000000000003 8467.0 58138.0 3419.0 3763.0 9124.0
42.0 4.125 8590.0 59006.0 3419.0 3763.0 9263.0
43.0 4.049999999999998 8716.0 59886.0 3419.0 3763.0 9405.0
44.0 3.8 8838.0 60742.0 3419.0 3763.0 9537.0
45.0 3.6000000000000014 8950.0 61510.0 3419.0 3763.0 9657.0
46.0 3.324999999999999 9043.0 62152.0 3419.0 3763.0 9756.0
47.0 3.2749999999999972 9119.0 62654.0 3419.0 3763.0 9833.0
48.0 3.25 9175.0 63035.0 3419.0 3763.0 9889.0
49.0 3.25 9204.0 63219.0 3419.0 3763.0 9918.0
50.0 3.25 9214.0 63275.0 3419.0 3763.0 9928.0
51.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
52.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
53.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
54.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
55.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
56.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
57.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
58.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
59.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
60.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
61.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
62.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
63.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
64.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
65.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
66.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
67.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
68.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
69.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
70.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
71.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
